course_id,slide_type,button_title,title,ord
CPCS-204,Lecture,نظري📚,Ch01,1
CPCS-204,Lecture,نظري📚,Ch02,2
CPCS-204,Lecture,نظري📚,Ch03,3
CPCS-204,Lecture,نظري📚,Ch04,4
CPCS-204,Lecture,نظري📚,Ch05,5
CPCS-204,Lecture,نظري📚,Ch06,6
CPCS-204,Lecture,نظري📚,Ch07,7
CPCS-204,Lecture,نظري📚,Ch08,8
CPCS-204,Lecture,نظري📚,Ch09,9
CPCS-204,Lecture,نظري📚,Ch10,10
CPCS-204,Lecture,نظري📚,Ch11,11
CPCS-204,Lecture,نظري📚,Ch12,12
CPCS-204,Lecture,نظري📚,Ch13,13
CPCS-204,Lecture,نظري📚,Ch14,14
CPCS-204,Lecture,نظري📚,Ch15,15
CPCS-204,Lecture,نظري📚,Ch16,16
CPCS-204,Lecture,نظري📚,Ch17,17
CPCS-204,Lecture,نظري📚,Ch18,18
CPCS-204,Lecture,نظري📚,Ch19,19
CPCS-204,Lecture,نظري📚,Ch20,20
CPCS-204,Lecture,نظري📚,Ch21,21
CPCS-204,Lecture,نظري📚,Ch22,22
CPCS-204,Lecture,نظري📚,Ch23,23
CPCS-204,Lecture,نظري📚,Ch24,24
CPCS-204,Lecture,نظري📚,Ch25,25
CPCS-204,Lecture,نظري📚,Ch26,26
CPCS-204,Lecture,نظري📚,Ch27,27
CPCS-204,Lecture,نظري📚,Ch28,28
CPCS-204,Lab,العملي💻,Lab01,1
CPCS-204,Lab,العملي💻,Lab02,2
CPCS-204,Lab,العملي💻,Lab03,3
CPCS-204,Lab,العملي💻,Lab04,4
CPCS-204,Lab,العملي💻,Lab05,5
CPCS-204,Lab,العملي💻,Lab06,6
CPCS-204,Lab,العملي💻,Lab07,7
CPCS-204,Lab,العملي💻,Lab08,8
CPCS-204,Lab,العملي💻,Lab09,9
CPCS-204,Lab,العملي💻,Lab10,10
CPCS-204,Lab,العملي💻,Lab11,11
CPCS-204,Lab,العملي💻,Lab12,12
CPCS-204,Lab,العملي💻,Lab13,13
CPCS-204,Lab,العملي💻,Lab14,14
CPCS-241,Lecture,نظري📚,Ch01,1
CPCS-241,Lecture,نظري📚,Ch02,2
CPCS-241,Lecture,نظري📚,Ch03,3
CPCS-241,Lecture,نظري📚,Ch05,4
CPCS-241,Lecture,نظري📚,Ch06,5
CPCS-241,Lecture,نظري📚,Ch07,6
CPCS-241,Lecture,نظري📚,Ch08,7
CPCS-241,Lecture,نظري📚,Ch09,8
CPCS-241,Lecture,نظري📚,Ch14,9
CPCS-241,Lecture,نظري📚,Ch16,10
CPCS-241,Lecture,نظري📚,Ch17,11
CPCS-241,Lab,العملي💻,Lab01,1
CPCS-241,Lab,العملي💻,Lab02,2
CPCS-241,Lab,العملي💻,Lab03,3
CPCS-241,Lab,العملي💻,Lab04,4
CPCS-241,Lab,العملي💻,Lab05,5
CPCS-241,Lab,العملي💻,Lab06,6
